keys,en,zh_TW
ui_app_title,"Bridging","橋接 Bridging"
ui_round1_title,"Round 1 — Draw a Role","Round 1｜角色抽卡"
ui_phase_background,"Public Background","公開背景"
ui_phase_guess_prompt,"Guess: how would this role feel about the market redevelopment?","猜猜看：這個角色會怎麼看市場改建這件事？"
ui_button_reveal,"Reveal","翻牌揭曉"
ui_phase_monologue_title,"Inner Monologue","內心獨白"
ui_button_next,"Next Card","下一張"
ui_button_prev,"Previous Card","上一張"
ui_button_lang,"Switch Language","切換語言"
ui_card_counter,"Card","第"
ui_card_counter_of,"of","張，共"
card1_name,"A-Ze, 26, Part-time Market Worker","阿澤，26歲，市場兼職工讀生"
card1_bg,"Moved from southern Taiwan for work, renting alone, contract designer by day, works a braised-food stall at night to pay off student loans.","北漂租屋，白天在設計公司當約聘，晚上在市場一家滷味攤打工還學貸。"
card1_mono,"Everyone assumes someone my age wants the old market torn down for something shinier. But if this stall closes, I lose the income that covers my rent. I actually want them to slow down.","大家都以為我這種年輕人巴不得市場拆掉重建、蓋新大樓比較潮。但我打工的攤位如果收掉，我晚上這份收入就沒了，房租我付不出來。我反而希望動作慢一點。"
card2_name,"Chief Chen, 58, Neighborhood Chief","陳里長，58歲，市場旁社區里長"
card2_bg,"Retired mid-level civil servant, now elected neighborhood chief, regularly speaks for residents at community meetings.","退休前是市府基層公務員，現任里長，常在里民大會上代表居民發言。"
card2_mono,"People assume an old civil servant like me automatically sides with city hall. What actually worries me is that emotional soundbites from meetings get clipped into news footage, making it look like there are only two sides — nobody hears the quiet majority who just want a clear timeline.","外面都覺得我這種老公務員一定挺市府、覺得攤商無理取鬧。其實我最擔心的是里民大會上那些情緒發言被剪成新聞畫面，讓大家以為只有兩種立場，沒人聽到中間那群『只是想知道時程』的人。"
card3_name,"Sister Mei-fen, 45, Second-generation Stall Owner","美芬姐，45歲，市場老攤商第二代"
card3_bg,"Took over her parents' stall 15 years ago; hoping her own child might eventually take it over too.","從父母手上接下滷味攤已15年，現在也計畫讓自己的孩子未來接班。"
card3_mono,"People assume I'll fight any change to protect the old market. I actually know the building really is unsafe. What scares me is losing income during reconstruction, and not being able to afford rent in the new building — I'm not against rebuilding, I'm asking whether I'll still have a place after it's done.","大家以為我一定死守老市場、反對任何改變。其實我知道建築真的有安全問題，我更怕的是重建期間收入斷炊，還有新大樓蓋好後房租我付不起、被財團擠出去——我要的不是『不要拆』，是『拆了以後我還在不在』。"
card4_name,"Old Master Wu, 72, Founding-generation Stall Owner","老吳伯，72歲，市場創始老攤商"
card4_bg,"One of the market's original vendors from its opening decades ago; physically he was already planning to retire in the next few years anyway.","市場開市第一批攤商之一，體力已經沒辦法再撐太久，其實原本就打算這幾年退休。"
card4_mono,"People assume a vendor as old as me will fight tooth and nail to save the old market. Honestly, my body can't keep up anyway — this redevelopment could be my dignified exit. What actually makes me angry is that quote from the councilor being twisted, making it look like we old folks only want more compensation money.","外面都覺得像我這種老攤商一定捨不得老市場、堅決反對改建。老實講，我體力早就撐不住了，改建對我來說反而是體面退場的機會——我更氣的是，議員那句話被斷章取義，好像我們這些老人只想要更多補償金。"
card5_name,"Xiao Lin, 35, Newly Arrived Parent","小林，35歲，新搬入的家長"
card5_bg,"Moved near the market two years ago; child attends the elementary school next door; shops at the market regularly.","兩年前搬到市場附近，小孩在旁邊的國小就讀，平常會去市場買菜。"
card5_mono,"People assume a newcomer like me only cares whether property values rise or the neighborhood looks nicer. What I actually worry about is the construction site sitting right on my kid's route to school, and where I'll even buy groceries — and stay connected to this community — while the market is closed.","大家都以為像我這種新住戶只在乎房價會不會漲、市容好不好看。我真正擔心的是重建期間工地就在小孩上學的必經之路上，還有市場關掉那幾年，我要去哪裡買菜、接觸這個社區。"
card6_name,"Officer Chang, 50, City Redevelopment Case Officer","張專員，50歲，市府都更承辦公務員"
card6_bg,"The administrative point-of-contact handling this redevelopment case; fields complaint calls and protesters daily.","負責這件都更案的行政窗口，天天面對陳情電話與抗議民眾。"
card6_mono,"People assume a bureaucrat like me is just running cover for developers, coldly following procedure. Truthfully I don't even know yet whether on-site relocation will actually work out — I haven't seen the bidding results either. I'm caught in the middle, and both sides think I'm lying to them.","大家覺得我這種公務員一定是幫財團說話、冷血照SOP走。其實我自己也不知道最後會不會真的原地安置成功，招標結果我也還沒看到——我夾在中間，兩邊都覺得我在騙他們。"
ui_menu_title,"Bridging","橋接 Bridging"
ui_menu_subtitle,"A Workshop Game for Bridging Social Divides","降低社會對立的工作坊互動遊戲"
ui_menu_round1,"Round 1 — Draw a Role","Round 1｜角色抽卡"
ui_menu_round2,"Round 2 — Information Bubble","Round 2｜資訊同溫層模擬"
ui_menu_round3,"Round 3 — Structured Listening","Round 3｜結構化聆聽對話"
ui_menu_quit,"Quit","離開"
ui_button_back_menu,"Back to Menu","回主選單"
ui_round2_title,"Round 2 — Information Bubble Simulation","Round 2｜資訊同溫層模擬"
ui_mode_browse,"Browse","瀏覽"
ui_button_ground_truth,"Reveal Ground Truth","顯示地面真相"
ui_round2_ground_truth_title,"Ground Truth","地面真相"
ui_button_debrief,"Debrief","討論問題"
ui_round2_debrief_title,"Debrief Questions","討論問題"
ui_button_facilitator_note,"Show Facilitator Note","顯示引導員筆記"
r2_pack_a_name,"Elder LINE Group Forwards","長輩 LINE 群組轉發風格"
r2_pack_a_frame,"Framing traits: conspiracy/betrayal narrative, nostalgic emotion, unverified sources, default distrust of government and corporations.","框架特徵：陰謀/背叛敘事、懷念情緒、無查證來源、對政府與財團的不信任預設。"
r2_pack_b_name,"Youth IG Stories / Memes","年輕人 IG 限動／迷因風格"
r2_pack_b_frame,"Framing traits: assumes generational conflict (elders block progress), entertainment-driven and decontextualized, binary polls manufacture false consensus, downplays vendors' real livelihood pressure.","框架特徵：世代對立預設（老人反對進步）、娛樂化/去脈絡化、二元投票製造虛假共識、輕忽攤商實際生計壓力。"
r2_pack_c_name,"In-depth Reporting / Podcast","深度報導／Podcast 聽眾風格"
r2_pack_c_frame,"Framing traits: surface-level balance, favors procedure over emotion, can make objectors seem irrational — a subtle elite-perspective bias.","框架特徵：表面平衡、重程序輕情感，容易讓人覺得反對者只是不理性——隱性菁英視角偏誤。"
r2_pack_d_name,"Official Community Bulletin","里辦公處公告／官方語氣風格"
r2_pack_d_frame,"Framing traits: official tone creates a false sense that 'everything is under control,' but selectively omits real points of contention — also a form of distortion.","框架特徵：官方語氣製造『一切都在掌控中』的安心感，但選擇性省略真實爭點，同樣是一種扭曲。"
r2_a1,"URGENT SHARE: The central market is really being swallowed by developers!! The market we grew up with! The government is basically seizing it for corporations, everyone needs to unite!! (Shared 47 times)","⚠️緊急擴散⚠️ 中央市場真的要被財團吃掉了！！我們從小逛到大的市場！政府根本是幫財團徵收，大家要團結起來！！（已轉發 47 次）"
r2_a2,"Heard the vendor reps went to protest, and the councilor actually said 'the vendors just want more money' — that's outrageous, no sympathy at all for ordinary people's hardship.","聽說攤商代表去抗議，議員居然說『攤商就是要更多錢』，太過分了，都不體諒老百姓的辛苦"
r2_a3,"This is our memory. The government just tears it down without ever asking us old folks what we think. (Photo: old black-and-white picture of the market)","這是我們的回憶，政府說拆就拆，都不問問我們這些老人家的意見（配圖：舊市場黑白照片）"
